"","CustomerID","last_purchase","recency","frequency","monetary","one_time","avg_per_purchase","R","F","M","groupRFM","score","segment_recency","segment_frequency","segment_monetary"
"1","12346",2011-01-18 10:01:00,325.666666666667,1,77183.6,"One-timer",77183.6,5,1,2,512,8,"Inactive","C. Returning customers","Best"
"2","12829",2011-01-07 11:13:00,336.666666666667,2,293,"More than once",146.5,5,1,1,511,7,"Inactive","B. Regulars","Worst"
"3","12855",2010-12-02 09:37:00,372.666666666667,1,38.1,"One-timer",38.1,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"4","12872",2011-01-17 10:52:00,326.666666666667,2,599.97,"More than once",299.985,5,1,1,511,7,"Inactive","B. Regulars","Top - 75%"
"5","12929",2011-02-01 12:08:00,311.666666666667,1,117.85,"One-timer",117.85,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"6","12956",2011-02-06 16:08:00,306.666666666667,1,108.07,"One-timer",108.07,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"7","12967",2010-12-16 19:10:00,358.666666666667,2,1660.9,"More than once",830.45,5,1,1,511,7,"Inactive","B. Regulars","Best"
"8","13002",2011-01-25 15:18:00,318.666666666667,1,120.95,"One-timer",120.95,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"9","13008",2011-01-20 14:24:00,323.666666666667,1,229.47,"One-timer",229.47,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"10","13011",2010-12-02 17:22:00,372.666666666667,1,50.55,"One-timer",50.55,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"11","13033",2010-12-17 14:23:00,357.666666666667,1,190.55,"One-timer",190.55,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"12","13065",2010-12-01 16:52:00,373.666666666667,1,205.86,"One-timer",205.86,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"13","13108",2010-12-02 10:35:00,372.666666666667,1,350.06,"One-timer",350.06,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"14","13144",2011-01-11 11:15:00,332.666666666667,1,110.95,"One-timer",110.95,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"15","13161",2011-01-30 14:03:00,313.666666666667,1,112.75,"One-timer",112.75,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"16","13187",2011-01-06 18:57:00,337.666666666667,1,236.02,"One-timer",236.02,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"17","13270",2010-12-08 14:53:00,366.666666666667,1,590,"One-timer",590,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"18","13284",2011-01-13 09:23:00,330.666666666667,1,201.19,"One-timer",201.19,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"19","13295",2010-12-15 11:21:00,359.666666666667,1,201.2,"One-timer",201.2,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"20","13304",2010-12-23 14:35:00,351.666666666667,1,300.42,"One-timer",300.42,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"21","13328",2011-01-27 15:22:00,316.666666666667,1,1308.48,"One-timer",1308.48,5,1,1,511,7,"Inactive","C. Returning customers","Top - 50%"
"22","13369",2010-12-09 11:30:00,365.666666666667,1,308.28,"One-timer",308.28,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"23","13370",2010-12-03 10:26:00,371.666666666667,1,754.87,"One-timer",754.87,5,1,1,511,7,"Inactive","C. Returning customers","Top - 50%"
"24","13385",2011-01-14 09:52:00,329.666666666667,1,534.57,"One-timer",534.57,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"25","13494",2011-02-01 11:58:00,311.666666666667,1,316.26,"One-timer",316.26,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"26","13506",2011-01-27 13:53:00,316.666666666667,2,458.52,"More than once",229.26,5,1,1,511,7,"Inactive","B. Regulars","Top - 75%"
"27","13551",2011-01-24 14:46:00,319.666666666667,1,91.8,"One-timer",91.8,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"28","13581",2011-02-03 14:41:00,309.666666666667,1,118,"One-timer",118,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"29","13584",2011-02-06 12:49:00,306.666666666667,1,142.4,"One-timer",142.4,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"30","13600",2011-01-31 15:27:00,312.666666666667,1,219.52,"One-timer",219.52,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"31","13615",2011-01-25 08:21:00,318.666666666667,1,417.69,"One-timer",417.69,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"32","13672",2011-02-11 13:53:00,301.666666666667,2,186.39,"More than once",93.195,5,1,1,511,7,"Inactive","B. Regulars","Worst"
"33","13703",2011-01-25 13:10:00,318.666666666667,1,99.5,"One-timer",99.5,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"34","13706",2011-02-10 09:21:00,302.666666666667,1,330.79,"One-timer",330.79,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"35","13747",2010-12-01 10:37:00,373.666666666667,1,79.6,"One-timer",79.6,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"36","13786",2010-12-07 13:53:00,367.666666666667,1,230.4,"One-timer",230.4,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"37","13800",2011-02-03 12:27:00,309.666666666667,1,558.32,"One-timer",558.32,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"38","13807",2010-12-07 15:48:00,367.666666666667,1,112.6,"One-timer",112.6,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"39","13819",2011-02-11 10:38:00,301.666666666667,3,1140.35,"More than once",380.116666666667,5,1,1,511,7,"Inactive","B. Regulars","Top - 50%"
"40","13859",2011-01-17 16:14:00,326.666666666667,1,201.16,"One-timer",201.16,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"41","13874",2010-12-16 18:20:00,358.666666666667,1,540.45,"One-timer",540.45,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"42","13898",2011-01-18 10:28:00,325.666666666667,1,155.93,"One-timer",155.93,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"43","13922",2010-12-23 10:38:00,351.666666666667,1,172.25,"One-timer",172.25,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"44","13948",2010-12-14 10:18:00,360.666666666667,1,102,"One-timer",102,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
"45","13963",2011-02-04 14:43:00,308.666666666667,4,664.54,"More than once",166.135,5,1,1,511,7,"Inactive","B. Regulars","Top - 50%"
"46","14048",2011-02-07 14:53:00,305.666666666667,1,409.93,"One-timer",409.93,5,1,1,511,7,"Inactive","C. Returning customers","Top - 75%"
"47","14068",2011-01-23 16:02:00,320.666666666667,1,265.85,"One-timer",265.85,5,1,1,511,7,"Inactive","C. Returning customers","Worst"
